text,label
"BACKGROUND: Gyrodactylus salaris is a directly transmitted ectoparasite that reproduces in situ on its fish host. Wild Norwegian (East Atlantic) salmon stocks are thought to be especially susceptible to the parasite due to lack of co-adaptation, contrary to Baltic salmon stocks. This study i) identifies whether time- and density-dependent mechanisms in gyrodactylid population growth exist in G. salaris-Atlantic salmon interactions and ii) based on differences between Norwegian and Baltic stocks, determines whether the 'Atlantic susceptible, Baltic resistant' paradigm holds as an example of local adaptation. METHODS: A total of 18 datasets of G. salaris population growth on individually isolated Atlantic salmon (12 different stocks) infected with three parasite strains were re-analysed using a Bayesian approach. Datasets included over 2000 observations of 388 individual fish. RESULTS: The best fitting model of population growth was time-limited; parasite population growth rate declined consistently from the beginning of infection. We found no evidence of exponential population growth in any dataset. In some stocks, a density dependence in the size of the initial inoculum limited the maximum rate of parasite population growth. There is no evidence to support the hypothesis that all Norwegian and Scottish Atlantic salmon stocks are equally susceptible to G. salaris, while Baltic stocks control and limit infections due to co-evolution. Northern and Western Norwegian as well as the Scottish Shin stocks, support higher initial parasite population growth rates than Baltic, South-eastern Norwegian, or the Scottish Conon stocks, and several Norwegian stocks tested (Akerselva, Altaelva, Lierelva, Numedalslagen), and the Scottish stocks (i.e. Conon, Shin), were able to limit infections after 40-50 days. No significant differences in performance of the three parasite strains (Batnfjordselva, Figga, and Lierelva), or the two parasite mitochondrial haplotypes (A and F) were observed. CONCLUSIONS: Our study shows a spectrum of growth rates, with some fish of the South-eastern Norwegian stocks sustaining parasite population growth rates overlapping those seen on Baltic Neva and Indalsalv stocks. This observation is inconsistent with the 'Baltic-resistant, Atlantic-susceptible' hypothesis, but suggests heterogeneity, perhaps linked to other host resistance genes driven by selection for local disease syndromes.",0
"A Monte Carlo procedure considering the variability in oyster handling from harvest to raw consumption estimated reductions in the number of Vibrio vulnificus induced septicemia cases achieved by high-pressure processing (HPP). The calculations yielded pathogen load distributions in raw oysters from harvest to consumption. In the warm season, 2-6 min treatments at 250 MPa and 1 ÁC would lower the predicted number of septicemia cases associated with raw oyster consumption from 4932 to less than four per 100 million consumption events (95% confidence). This study highlighted that HPP conditions should be selected according to the seasonal pathogen load and environment temperature. Finally, the procedure emphasized that the variability in the V. vulnificus population at harvest, before and after HPP treatments, reflecting in part the microbiological quantification methods used, significantly affected the estimated number of septicemia cases. Therefore, improving microbiological quantification should provide better predictions of the number of septicemia cases. All rights reserved, Elsevier.",0
"Concerns with transgenic animals include the potential ecological risks associated with release or escape to the natural environment, and a critical requirement for assessment of ecological effects is the ability to distinguish transgenic animals from wild type. Here, we explore geometric morphometrics (GeoM) and human expertise to distinguish growth-hormone-transgenic coho salmon (Oncorhynchus kisutch) specimens from wild type. First, we simulated an escape of 3-month-old hatchery-reared wild-type and transgenic fish to an artificial stream, and recaptured them at the time of seaward migration at an age of 13 months. Second, we reared fish in the stream from first-feeding fry until an age of 13 months, thereby simulating fish arising from a successful spawn in the wild of an escaped hatchery-reared transgenic fish. All fish were then assessed from 'photographs by visual identification (VID) by local staff and by GeoM based on 13 morphological landmarks. A leave-one-out discriminant analysis of GeoM data had on average 86% (72-100% for individual groups) accuracy in assigning the correct genotypes, whereas the human experts were correct, on average, in only 49% of cases (range of 18-100% for individual fish groups). However, serious errors (i.e., classifying transgenic specimens as wild type) occurred for 7% (GeoM) and 67% (VID) of transgenic fish, and all of these incorrect assignments arose with fish reared in the stream from the first-feeding stage. The results show that we presently lack the skills of visually distinguishing transgenic coho salmon from wild type with a high level of accuracy, but that further development-of GeoM methods could be useful in identifying second-generation,fish from nature as a nonmolecular approach.",1
"The activities of 2 species of burrowing shrimp have a negative impact on the growth and survival of oysters reared on intertidal mudflats in Willapa Bay and Grays Harbor, Washington (USA). To maintain viable harvests, oyster growers proposed the application of the neonicotinoid insecticide imidacloprid onto harvested beds for the control of burrowing shrimp. In test applications, water column concentrations of imidacloprid were relatively low and dissipated rapidly. The foraging activities of the green sturgeon (listed in the US Endangered Species Act) could result in exposure to higher, more sustained imidacloprid concentrations within sediment porewater and from the consumption of contaminated shrimp. Controlled experiments were conducted using surrogate white sturgeon to determine acute and chronic effect concentrations, to examine overt effects at more environmentally realistic concentrations and durations of exposure, and to assess chemical depuration. The 96-h median lethal concentration was 124 mg L(-1) , and the predicted 35-d no-observed-adverse-effect concentration was 0.7 mg L(-1) . No overt effects were observed following environmentally relevant exposures. Imidacloprid half-life in plasma was greater than 32 h. Measured concentrations of imidacloprid in porewater were significantly lower than the derived acute and chronic effect concentrations for white sturgeon. Exposure risk quotients were calculated using the effect concentrations and estimated environmental exposure. The resulting values were considerably below the level of concern for direct effects from either acute or chronic exposure to an endangered species.",1
"Calcium-chelating marine bone collagen oligopeptides (MBCP-Ca) were prepared by using salmon bone as raw material and calcium carbonate as calcium resource. The total protein content, chelating rate and yield were determined. Results showed that the total protein content, chelating rate and yield were 62.56% 0.26%, 51.38% 0.09% and 42.06% 0.10%, respectively. Then, MBCP-Ca was separated and purified by reversed phase high performance liquid chromatography (RP-HPLC). A total of 8 fractions were collected and subjected to Q-TOF mass spectrometer to identify peptide sequences. A total of 22 peptide sequences were identified, and most molecular weights of the peptides were below 1000 u.",0
"Cadmium (Cd), copper (Cu), mercury (Hg), lead (Pb), and zinc (Zn) were assessed in the edible tissues of Crassrotrea corteziensis oysters collected during the rainy and dry seasons in 27 sites from 8 coastal lagoons of the southeast Gulf of California. In addition, C. palmula oysters were sampled at 9 sites from the same mangrove roots where C. corteziensis oysters were collected. Metal analyses were performed by flame atomic absorption spectrophotometry (Cd, Cu, and Zn), graphite furnace (Pb), and cold vapor detection (Hg). The obtained mean levels were (microg g(-1) dry weight) as follows: Cd 6.05 +/- 2.77, Cu 60.0 +/- 33.4, Hg 0.38 +/- 0.17, Pb 1.11 +/- 0.63, and Zn 777 +/- 528 microg g(-1). For all metals except Hg, the concentrations were greater during dry season than during rainy seasons. The high levels, particularly that for Cd, were related to upwelling along the eastern Gulf of California. High Hg levels in the rainy season were associated with the transport of materials from the watershed to the lagoon. Shrimp farming, agriculture, and other sources were considered as potential sources to explain the differences in metal bioavailability in the 8 lagoons. The mean concentrations of Cd (Santa Maria-La Reforma lagoon), Cu [San Ignacio-Navachiste-El Macapule (SINM), Urias (URI), and Altata-Ensenada del Pabellon lagoons], and zinc (Zn) (URI, Santa Maria-Ohuira-Topolobampo, El Colorado, and SINM lagoons) during the dry season were greater than the maximum permissible limits. C. palmula collected in 8 sites where they were present simultaneously with C. corteziensis had consistently greater metal levels than C. corteziensis, but correlation analyses showed a high and significant (P < 0.05) correlation between metal concentrations in both species. The correlation equations obtained are useful where the same species is not distributed and is necessary to compare results from distinct regions.",0
"We examined 1454 juvenile Chinook salmon, Oncorhynchus tshawytscha (Walbaum), captured in nearshore waters off the coasts of Washington and Oregon (USA) from 1999 to 2004 for infection by Renibacterium salmoninarum, Nanophyetus salmincola Chapin and skin metacercariae. The prevalence and intensities for each of these infections were established for both yearling and subyearling Chinook salmon. Two metrics of salmon growth, weight residuals and plasma levels of insulin-like growth factor-1, were determined for salmon infected with these pathogens/parasites, both individually and in combination, with uninfected fish used for comparison. Yearling Chinook salmon infected with R. salmoninarum had significantly reduced weight residuals. Chinook salmon infected with skin metacercariae alone did not have significantly reduced growth metrics. Dual infections were not associated with significantly more severe effects on the growth metrics than single infections; the number of triple infections was very low and precluded statistical comparison. Overall, these data suggest that infections by these organisms can be associated with reduced juvenile Chinook salmon growth. Because growth in the first year at sea has been linked to survival for some stocks of Chinook salmon, the infections may therefore play a role in regulating these populations in the Northeast Pacific Ocean.",0
"A new stochastic model for the simultaneous growth of Listeria monocytogenes and lactic acid bacteria (LAB) was developed and validated on data from naturally contaminated samples of cold-smoked Greenland halibut (CSGH) and cold-smoked salmon (CSS). During industrial processing these samples were added acetic and/or lactic acids. The stochastic model was developed from an existing deterministic model including the effect of 12 environmental parameters and microbial interaction (O. Mejlholm and P. Dalgaard, Food Microbiology, submitted for publication). Observed maximum population density (MPD) values of L. monocytogenes in naturally contaminated samples of CSGH and CSS were accurately predicted by the stochastic model based on measured variability in product characteristics and storage conditions. Results comparable to those from the stochastic model were obtained, when product characteristics of the least and most preserved sample of CSGH and CSS were used as input for the existing deterministic model. For both modelling approaches, it was shown that lag time and the effect of microbial interaction needs to be included to accurately predict MPD values of L. monocytogenes. Addition of organic acids to CSGH and CSS was confirmed as a suitable mitigation strategy against the risk of growth by L. monocytogenes as both types of products were in compliance with the EU regulation on ready-to-eat foods.",0
"The function of the ecdysone receptor (EcR) during development and molting has been thoroughly investigated in some arthropods such as insects but rarely in crustacean copepods such as the salmon louse Lepeophtheirus salmonis (L. salmonis) (Copepoda, Caligidae). The salmon louse is an ectoparasite on Atlantic salmon that has major economical impact in aquaculture due to the cost of medical treatment methods to remove lice from the fish. Handling of salmon louse infestations is further complicated by development of resistance towards available medicines. Understanding of basic molecular biological processes in the salmon louse is essential to enable development of new tools to control the parasite. In this study, we found L. salmonis EcR (LsEcR) transcript to be present in the neuronal somata of the brain, nuclei of muscle fibres and the immature intestine of the salmon louse. Furthermore, we explored the function of LsEcR during development using RNA interference mediated knock-down and through infection trials. Our results show that knock-down of LsEcR in the salmon louse is associated with hypotrophy of several tissues, delayed development and mortality. In addition, combined knock-down of LsEcR/LsRXR resulted in molting arrest during early larval stages.",0
"Willapa Bay (Washington State, USA) has been 1 of the rare intertidal locations where large-scale pesticide applications occur. Until recently, carbaryl was applied to control burrowing shrimp that decrease commercial oyster productivity. The bay is a critical habitat for green sturgeon (Acipenser medirostris), an anadromous species listed as threatened under the US Endangered Species Act. However, the hazard that carbaryl poses is unknown. Surrogate seawater-acclimated white sturgeon (A. transmontanus) were exposed to 0 mug L(-1) , 30 mug L(-1) , 100 mug L(-1) , 300 mug L(-1) , 1000 mug L(-1) , and 3000 mug L(-1) carbaryl for 6 h, and brain acetylcholinesterase (AChE) and plasma butyrylcholinesterase (BChE) activities were measured. Enzyme recovery was measured in an additional cohort exposed to 1000 mug L(-1) carbaryl for 6 h. Activity of AChE was reduced (p </= 0.001) at concentrations >/= 100 mug L(-1) with recovery in the 1000 mug L(-1) cohort by 72 h. Surprisingly, BChE activity was greater than controls at concentrations >/= 300 mug L(-1) (p > 0.05), a finding confirmed in additional fish exposed to 3000 mug L(-1) for 6 h (+30%, p < 0.001) with apparent recovery by 48 h. Plasma samples were collected from free-living green sturgeon before and 4 d to 5 d after application of carbaryl in Willapa Bay. Activity of BChE after application was reduced 28% (p < 0.001), indicating exposure to the pesticide. However, the lack of congruence between BChE and AChE activity in captive white sturgeon exposed to carbaryl indicates that further studies are needed to better understand the risk carbaryl exposure poses to green sturgeon. Environ Toxicol Chem 2016;35:2003-2015. (c) 2015 SETAC.",0
"Infectious pancreatic necrosis is a significant disease of farmed salmonids resulting in direct economic losses due to high mortality and disease-management costs. Significant outbreaks of the disease occurred in farmed Atlantic salmon in Ireland between 2003 and 2007, associated with imported ova and smolts. As the virus was known to occur in the country since the development of aquaculture in the 1980s, this study examined archived samples to determine whether these older isolates were associated with virulent forms. The study showed that two genotypes of IPNV were present in the 1990s, genotype 3 and genotype 5. A more virulent subtype of the virus first appeared in 2003 associated with clinical outbreaks of IPN, and this subtype is now the most prevalent form of IPNV found in the country. The data also indicated that IPNV in Ireland is more closely related to Scottish and continental European isolates than to Norwegian, Chilean and Australasian genogroup 5 isolates.",1
"We report here the first evidence in an invertebrate, the oyster Crassostrea gigas, of a phenomenon of Presence-Absence Variation (PAV) affecting immune-related genes. We previously evidenced an extraordinary interindividual variability in the basal mRNA abundances of oyster immune genes including those coding for a family of antimicrobial peptides, the big defensins (Cg-BigDef). Cg-BigDef is a diverse family composed of three members: Cg-BigDef1 to -3. Here, we show that besides a high polymorphism in Cg-BigDef mRNA expression, not all individual oysters express simultaneously the three Cg-BigDefs. Moreover, in numerous individuals, no expression of Cg-BigDefs could be detected. Further investigation at the genomic level revealed that in individuals in which the transcription of one or all Cg-BigDefs was absent the corresponding Cg-bigdef gene was missing. In our experiments, no correlation was found between Cg-bigdef PAV and oyster capacity to survive Vibrio infections. The discovery of P-A immune genes in oysters leads to reconsider the role that the immune system plays in the individual adaptation to survive environmental, biotic and abiotic stresses.",0
"The blanching and vacuum were used for deodorizing the oyster meat with sensory evaluation as analysis index. The volatile compounds were determined by headspace-solid phase microextraction (HS-SPME) coupled with gas chromatography-mass spectrometry (GC-MS). The results showed that optimum conditions of dedorization were temperature 80ÁC, time 3 min and the vacuum degree 0.07 MPa. After deodorization, the flavour components of oyster meat decreased from 12 kinds to 10 kinds, the relative content decreased from 19.18% to 15.19%, the odor removal rate reached 20.8%. It showed this method could better removed the flavour components of oyster and the oyster meat flavour increased for furans increased. This study showed that the flavour components of oyster meat can be better removed by the method of blanching and vacuum.",1
